Date,Open,High,Low,Close,Adj Close,Volume
2016-10-09,12.215600,12.357100,11.979500,12.053700,12.053700,7208480
2016-10-10,12.060700,12.062200,11.624000,11.755500,11.755500,10809200
2016-10-11,11.762400,12.160900,11.751300,11.785700,11.785700,11727700
2016-10-12,11.784600,12.072000,11.707200,11.933500,11.933500,9694640
2016-10-13,11.909200,12.131200,11.783700,11.963000,11.963000,8665190
2016-10-14,11.989100,12.074000,11.895900,11.938200,11.938200,4333510
2016-10-15,11.936100,11.996200,11.776800,11.983400,11.983400,4991840
2016-10-16,11.981700,12.009700,11.933200,11.951600,11.951600,3617280
2016-10-17,11.955600,12.033900,11.861300,12.005000,12.005000,5724440
2016-10-18,11.995900,12.927800,11.995900,12.588500,12.588500,18864200
2016-10-19,12.592600,12.619100,11.908500,12.022600,12.022600,10576200
2016-10-20,12.046300,12.288800,11.997200,12.099000,12.099000,8170760
2016-10-21,12.129700,12.205400,12.023400,12.175400,12.175400,5676920
2016-10-22,12.180400,12.190200,11.954100,12.071500,12.071500,7583820
2016-10-23,12.130400,12.143100,11.939200,12.036000,12.036000,5774660
2016-10-24,12.037200,12.100700,11.909100,11.969000,11.969000,5739690
2016-10-25,11.967600,11.993400,11.147500,11.414000,11.414000,19316000
2016-10-26,11.384100,11.662500,11.384100,11.532000,11.532000,10221800
2016-10-27,11.531200,11.606500,11.263500,11.499700,11.499700,13255400
2016-10-28,11.474900,11.578400,10.953900,11.085100,11.085100,13971500
2016-10-29,11.100300,11.198500,9.563270,10.444600,10.444600,27070400
2016-10-30,10.428200,11.453700,10.294900,11.182800,11.182800,16694900
2016-10-31,11.229600,11.498500,10.935200,10.998200,10.998200,13393900
2016-11-01,10.957800,11.179700,10.304100,10.766100,10.766100,22901300
2016-11-02,10.773500,11.160400,10.692500,10.752600,10.752600,11691700
2016-11-03,10.797700,11.107500,10.762400,10.801000,10.801000,15228600
2016-11-04,10.817500,11.122200,10.817500,11.090700,11.090700,9958040
2016-11-05,11.094800,11.236600,10.883400,11.002500,11.002500,5502670
2016-11-06,10.991700,11.245400,10.852000,10.873500,10.873500,5688710
2016-11-07,10.903700,10.956700,10.784300,10.808800,10.808800,5992480
2016-11-08,10.850600,10.924300,10.739800,10.833700,10.833700,6258150
2016-11-09,10.819900,10.834900,10.222900,10.655500,10.655500,14606600
2016-11-10,10.674700,10.677100,10.513300,10.524500,10.524500,4253980
2016-11-11,10.514000,10.572700,10.257000,10.289900,10.289900,6056300
2016-11-12,10.292400,10.336200,9.697310,9.877960,9.877960,10052500
2016-11-13,9.887650,10.412700,9.841760,10.101500,10.101500,8227770
2016-11-14,10.098200,10.157100,9.956040,9.966480,9.966480,3573250
2016-11-15,9.971940,10.321900,9.851440,10.217500,10.217500,6557550
2016-11-16,10.217000,10.326600,9.931430,10.059100,10.059100,9533550
2016-11-17,10.059600,10.190200,9.920250,9.991180,9.991180,6984700
2016-11-18,9.988350,10.006100,9.476160,9.476160,9.476160,10816100
2016-11-19,9.482820,9.745820,9.482080,9.662760,9.662760,5186540
2016-11-20,9.661210,9.711090,9.520170,9.579280,9.579280,5173420
2016-11-21,9.580160,9.637790,9.541690,9.620820,9.620820,3663210
2016-11-22,9.625760,10.238800,9.591100,9.905720,9.905720,11284400
2016-11-23,9.919770,9.959260,9.763790,9.843620,9.843620,4812310
2016-11-24,9.846030,9.852600,8.928610,9.231670,9.231670,15987800
2016-11-25,9.228530,9.752520,9.211230,9.402050,9.402050,7669720
2016-11-26,9.416430,9.501030,9.310750,9.328110,9.328110,3505990
2016-11-27,9.312020,9.333520,8.775500,8.998470,8.998470,8707660
2016-11-28,8.998440,9.011680,8.723610,8.724820,8.724820,6046890
2016-11-29,8.728700,8.744430,7.875730,8.174120,8.174120,17000400
2016-11-30,8.155480,8.751130,8.155480,8.587540,8.587540,10626600
2016-12-01,8.601620,8.646030,8.359060,8.452500,8.452500,5882340
2016-12-02,8.455570,8.455570,7.417800,7.759960,7.759960,18579800
2016-12-03,7.766330,8.151170,7.668240,7.921340,7.921340,12112100
2016-12-04,7.903430,7.947770,7.443680,7.443680,7.443680,8450790
2016-12-05,7.410590,7.638860,6.655500,6.821660,6.821660,17344500
2016-12-06,6.804600,7.922680,5.978870,7.868930,7.868930,50671200
2016-12-07,7.894830,8.540840,7.328440,8.381480,8.381480,22229600
2016-12-08,8.383500,8.861330,8.230510,8.230510,8.230510,16042700
2016-12-09,8.168140,8.674090,8.054330,8.446010,8.446010,12916300
2016-12-10,8.438370,8.528410,8.016770,8.125160,8.125160,8108370
2016-12-11,8.126410,8.268560,8.102990,8.193620,8.193620,5545500
2016-12-12,8.192360,8.606330,8.165080,8.522210,8.522210,9119700
2016-12-13,8.520400,8.530890,8.345720,8.422850,8.422850,4486190
2016-12-14,8.451500,8.518650,8.248870,8.265230,8.265230,7337220
2016-12-15,8.235330,8.235330,7.722410,7.828470,7.828470,13184400
2016-12-16,7.859040,7.934770,7.804470,7.858210,7.858210,5178610
2016-12-17,7.855690,7.899110,7.520570,7.876590,7.876590,8502620
2016-12-18,7.860520,7.932860,7.719480,7.865320,7.865320,5890020
2016-12-19,7.869430,7.869430,7.625190,7.643820,7.643820,5894760
2016-12-20,7.633680,7.745900,7.571600,7.660040,7.660040,6313550
2016-12-21,7.663660,7.943600,7.662860,7.914400,7.914400,9393550
2016-12-22,7.899040,7.905860,7.501710,7.585000,7.585000,16376700
2016-12-23,7.576950,7.691740,7.161140,7.166150,7.166150,19613100
2016-12-24,7.152420,7.405430,7.152420,7.265770,7.265770,7626020
2016-12-25,7.264850,7.341660,7.138860,7.175080,7.175080,8671840
2016-12-26,7.132100,7.333820,7.047510,7.274090,7.274090,5836810
2016-12-27,7.276370,7.322580,7.090470,7.170820,7.170820,8778610
2016-12-28,7.148950,7.624060,7.082250,7.520110,7.520110,17453300
2016-12-29,7.539130,8.527410,7.539130,8.284160,8.284160,27543800
2016-12-30,8.289880,8.466090,8.054680,8.159980,8.159980,13909900
